"type","horse","CO2"
"guards",183,166.81
"guards",183,166.81
"guards",183,248.85
"guards",183,248.85
"guards",183,248.85
"guards",183,248.85
"guards",183,165.87
"guards",183,165.87
"guards",183,165.87
"guards",183,165.87
"guards",183,249.22
"guards",183,249.22
"guards",183,249.22
"guards",183,249.22
"guards",183,246.2729224
"guards",183,246.2729224
"guards",183,246.2729224
"guards",183,246.2729224
"guards",183,164.0993753
"guards",183,164.0993753
"guards",183,164.0993753
"guards",183,164.0993753
"guards",183,164.9278876
"guards",183,164.9278876
"guards",183,164.9278876
"guards",183,164.9278876
"guards",183,259.42
"guards",183,259.42
"guards",183,259.42
"guards",183,259.42
"guards",183,169.94
"guards",183,169.94
"guards",183,169.94
"guards",183,169.94
"guards",240,175.1535785
"guards",240,303.5073054
"guards",240,177.07
"guards",240,296.85
"guards",240,304.09
"guards",240,172.29
"guards",240,306.77
"guards",240,173.05
"guards",241,291.7086768
"guards",241,177.2019934
"guards",241,297.9622857
"guards",241,176.5914764
"guards",241,280.54
"guards",241,183.55
"guards",241,309.77
"guards",241,176.22
"guards",241,318.7
"guards",241,188.05
"guards",241,301.14
"guards",241,177.86
"guards",241,307.51
"guards",241,182.22
"guards",240,306.26
"guards",240,179.75
"guards",240,311.44
"guards",240,178.98
"guards",240,311.84
"guards",240,188.36
"guards",240,188.64
"guards",240,313.4
"guards",241,296.84
"guards",241,185.46
"guards",241,187.14
"guards",241,298.83
"guards",241,308.56
"guards",241,182.42
"guards",241,313.29
"guards",241,184.71
"guards",240,314.06
"guards",240,187.17
"guards",240,319.25
"guards",240,191.28
"guards",240,317.31
"guards",240,192.3
"guards",240,328.68
"guards",240,194.53
"forwards",241,312.82
"forwards",241,192.89
"forwards",241,313.34
"forwards",241,193.01
"forwards",181,330.03
"forwards",181,194.06
"forwards",181,329.87
"forwards",181,193.97
"forwards",181,329.73
"forwards",181,195.29
"forwards",181,310.12
"forwards",181,197.57
"forwards",181,308.27
"forwards",181,193.74
"forwards",181,322.1380716
"forwards",181,197.1832922
"forwards",300,338.72
"forwards",300,206.08
"forwards",300,338.69
"forwards",300,209.65
"forwards",300,307.75
"forwards",300,190.88
"forwards",300,309.43
"forwards",300,189.68
"forwards",300,310.05
"forwards",300,194.75
"forwards",300,305.98
"forwards",300,335.85
"forwards",300,193.83
"forwards",300,332.07
"forwards",300,193.91
"forwards",300,352.79
"forwards",300,224.21
"forwards",300,353.7
"forwards",300,222.32
"forwards",300,213.1906215
"forwards",300,208.3904609
"forwards",300,339.265242
"forwards",300,338.8763017
"forwards",300,351.6197516
"forwards",300,211.6153969
"forwards",300,341.5732327
"forwards",300,356.0090979
"forwards",300,211.6183135
"forwards",300,355.03
"forwards",300,205.69
"forwards",300,350.09
"forwards",300,207
"forwards",300,369.66
"forwards",300,206.83
"guards",240,309.37
"guards",240,178.19
"guards",240,180.4173559
"guards",240,334.1311732
"guards",240,312.82
"guards",240,184.55
"guards",240,328.05
"guards",240,186.85
"guards",240,323.42
"guards",240,191.71
"guards",240,337.68
"guards",240,189.66
"guards",240,333.22
"guards",240,192.29
"guards",240,342.98
"guards",240,197.98
"forwards",181,318.73
"forwards",181,180.4
"forwards",181,322.16
"forwards",181,186.87
"forwards",241,173.9148006
"forwards",241,281.1368699
"forwards",241,302.62
"forwards",241,175.11
"forwards",241,284.1055776
"forwards",241,176.9809913
"forwards",241,311.03
"forwards",241,179.72
"guards",240,300.53
"guards",240,172.38
"guards",240,173.18
"guards",240,312.41
"guards",240,173.08
"guards",240,309.7
"guards",240,182.58
"guards",240,321.47
"guards",240,183.93
"forwards",241,302.74
"forwards",241,187.57
"forwards",241,319.55
"forwards",241,183.78
"forwards",241,307.18
"forwards",241,191.73
"forwards",241,321.4
"forwards",241,190.18
"guards",240,308.63
"guards",240,308.63
"guards",240,184.45
"guards",240,184.45
"guards",240,321.19
"guards",240,321.19
"guards",240,184.37
"guards",240,184.37
"guards",240,314.87
"guards",240,314.87
"guards",240,188.54
"guards",240,188.54
"guards",240,327.04
"guards",240,327.04
"guards",240,189.11
"guards",240,189.11
"forwards",300,342.41
"forwards",300,199.79
"forwards",300,342.26
"forwards",300,198.94
"forwards",300,350.84
"forwards",300,206.78
"forwards",300,356.62
"forwards",300,199.4
"forwards",300,357.41
"forwards",300,212.97
"forwards",300,332.2
"forwards",300,196.09
"forwards",300,357.8711569
"forwards",300,201.1570794
"forwards",300,328.13
"forwards",300,194.16
"forwards",300,347.07
"forwards",300,196.74
"forwards",300,200.1706269
"forwards",300,339.6815633
"forwards",300,350.01
"forwards",300,200.74
"forwards",300,368.85
"forwards",300,225.38
"forwards",300,342.28
"forwards",300,205.38
"forwards",300,365.01
"forwards",300,204.62
"guards",241,291.97
"guards",241,180.38
"guards",241,286.33
"guards",241,193.02
"guards",241,190.45
"guards",241,317.47
"guards",241,189.44
"guards",241,320.72
"guards",241,195.83
"guards",241,302.1
"guards",241,190.65
"guards",241,325.44
"guards",241,191.38
"guards",255,304.08
"guards",255,304.08
"guards",255,304.08
"guards",255,304.08
"guards",255,191.29
"guards",255,191.29
"guards",255,191.29
"guards",255,191.29
"guards",255,314.48
"guards",255,314.48
"guards",255,314.48
"guards",255,314.48
"guards",255,189.47
"guards",255,189.47
"guards",255,189.47
"guards",255,189.47
"guards",255,303.01
"guards",255,303.01
"guards",255,303.01
"guards",255,303.01
"guards",255,185.21
"guards",255,185.21
"guards",255,185.21
"guards",255,185.21
"guards",255,300.42
"guards",255,300.42
"guards",255,300.42
"guards",255,300.42
"guards",255,179.58
"guards",255,179.58
"guards",255,179.58
"guards",255,179.58
"guards",255,307.45
"guards",255,307.45
"guards",255,307.45
"guards",255,307.45
"guards",255,195.67
"guards",255,195.67
"guards",255,195.67
"guards",255,195.67
"guards",255,302.13
"guards",255,302.13
"guards",255,302.13
"guards",255,302.13
"guards",255,322.24
"guards",255,322.24
"guards",255,322.24
"guards",255,322.24
"guards",255,194.44
"guards",255,194.44
"guards",255,194.44
"guards",255,194.44
"guards",255,303.2200016
"guards",255,303.2200016
"guards",255,303.2200016
"guards",255,303.2200016
"guards",255,185.3841327
"guards",255,185.3841327
"guards",255,185.3841327
"guards",255,185.3841327
"guards",255,307.19
"guards",255,307.19
"guards",255,307.19
"guards",255,307.19
"guards",255,196.03
"guards",255,196.03
"guards",255,196.03
"guards",255,196.03
"guards",300,336.4
"guards",300,208.04
"guards",300,337.83
"guards",300,213.33
"guards",300,362.15
"guards",300,214.91
"guards",300,383.59
"guards",300,215.01
"guards",300,329.56
"guards",300,201.25
"guards",300,216.9896051
"guards",300,382.2395438
"guards",300,380.8313023
"guards",300,222.8229476
"guards",300,350.95
"guards",300,197.76
"guards",300,363.79
"guards",300,208.51
"guards",300,236.1
"guards",300,366.3
"guards",300,377.29
"guards",300,229.05
"guards",300,380.1
"guards",300,228.87
"guards",300,366.38
"guards",300,231.72
"guards",300,353.9
"guards",300,223.61
